新闻id,内容,链接
1012,Willy Woo：Bitcoin 复苏由短期期货推动，市场底部尚未形成Willy Woo 表示，Bitcoin 最近的复苏主要由短期期货买盘推动。据 NS3 报道，链上数据显示短期持有者的平均成本基准仍在 8 万美元中段。Woo 警告称，市场底部尚未形成，目前的流动性表明市场仅经历了熊市的三分之一。,https://www.binance.com/zh-CN/square/post/302495867548321
1013,英国外交事务特别委员会主席建议推迟国王和王后访美行程据金十数据引述泰晤士报报道，英国外交事务特别委员会主席艾米丽·索恩伯里建议，鉴于英国政府与特朗普在伊朗战争问题上的紧张关系，应推迟国王和王后访美行程，以避免“尴尬”。,https://www.binance.com/zh-CN/square/post/302495751723746
1014,"Hyperscale Data 计划增持比特币，应对市值与资产负债表失衡据 ChainCatcher 报道，纽交所上市公司 Hyperscale Data, Inc.（股票代码：GPUS）宣布，其全资子公司 Sentinum, Inc. 与 Ault Capital Group, Inc.（ACG）合计持有 622.4378 枚比特币。

公司现金与比特币合计持仓约 85,700,000 美元，占公司当前市值的 161.23%。执行董事长 Milton “Todd” Ault III 表示，公司市值与资产负债表价值存在显著背离，正评估所有可行战略选项以应对失衡。Hyperscale Data 计划将数字资产财库策略所分配的现金全部逐步用于购入比特币。",https://www.binance.com/zh-CN/square/post/302494660607746
1015,Binance Loans 提供三种贷款方案助力BTC矿工Binance Blog 发布最新文章，介绍币安最新的服务，帮助BTC矿工在不出售BTC的情况下管理现金流。BTC矿工常面临出售新挖BTC以支付运营成本或持有以待未来升值的艰难选择。Binance Loans 允许矿工使用BTC作为抵押借入USDT或USDC，从而在不出售持有资产的情况下管理现金流。文章探讨了三种贷款方案：灵活贷款支持短期需求，固定利率贷款为计划提供可预测性，VIP贷款为大规模运营提供额外功能。通过这些方案，矿工可以在不利的市场条件下保持运营，同时保留对Bitcoin Ordinals未来升值的长期敞口。,https://www.binance.com/zh-CN/square/post/302491375301954
1016,地缘政治 | 日本和韩国推进与特朗普关税相关的美国投资日本和韩国正在推进价值 9000 亿美元的美国投资，这些投资与特朗普的关税政策有关。Bloomberg 在 X（原 Twitter）发文表示，尽管特朗普的贸易议程规则仍不确定，但两国依然在继续推进这些投资计划。,https://www.binance.com/zh-CN/square/post/302491074878034
1017,Michael Saylor：Bitcoin 是数字资本，AI 或削弱传统企业优势Michael Saylor 表示，Bitcoin 是“数字资本”，即使 AI 削弱传统企业优势，它仍可能保持韧性。据 NS3 报道，Saylor 的观点是在 Chamath Palihapitiya 表示 AI 可能会将资产的长期预期价值削减 30% 至 40%，并将资本转向基础设施和短期政府债券之后提出的。,https://www.binance.com/zh-CN/square/post/302490130224641
1018,Folks Finance 第一季 FLOKS 代币解锁期结束Folks Finance 发推表示，第一季 FLOKS 代币解锁期已结束。据 Foresight News 报道，尚未领取者需在 3 月 31 日 22:00 前申领，否则永久作废。,https://www.binance.com/zh-CN/square/post/302489651186401
1019,"VVV 鲸鱼持币者抛售代币，24 小时跌幅达 8.1%3 月 17 日，据 BlockBeats 报道，据 onchainschool.pro 监测，部分 VVV 鲸鱼持币者正在抛售代币。其中一个地址已解押并逐步出售约 60 万美元 VVV 代币，该地址还持有另外价值 60 万美元 VVV。

此外，另有一个机器人账户持有约 20 万美元代币仍在抛售。截止发稿，VVV 报 5.63 美元，24 小时跌幅达 8.1%。",https://www.binance.com/zh-CN/square/post/302489692666193
1020,美国3月纽约联储商业活动指数为负据金十数据报道，美国3月纽约联储商业活动指数为-22.6，显示商业活动出现显著下降。这一指数反映了纽约地区的经济状况，对整体经济走势具有重要影响。,https://www.binance.com/zh-CN/square/post/302528314581010
1021,"伊朗革命卫队：对以色列和美国基地实施精确打击据金十数据引述CCTV国际时讯报道，伊朗伊斯兰革命卫队3月17日发布声明称，“真实承诺4”第58波行动已于凌晨实施。此次行动旨在纪念冲突中遇害的儿童，尤其是伊朗米纳卜小学的学生以及一名出生仅3天的婴儿。

革命卫队表示，本轮行动采取“以效果为导向”的作战方式，动用多种精确打击手段，包括配备2吨级弹头的“霍拉姆沙赫尔”重型导弹、“加德尔”多弹头导弹、“法塔赫”和“海巴尔·谢坎”导弹，以及中程“法塔赫”、“吉亚姆”导弹和攻击型无人机，对以色列北部和中部多个目标，以及美国在伊拉克、科威特、沙特和巴林的军事基地实施打击。",https://www.binance.com/zh-CN/square/post/302528170097538
1022,Hyperliquid Strategies 增持 HYPE 代币至 1760 万枚Hyperliquid Strategies 在最新财报中表示，截至 2026 年 2 月 3 日，该公司增持约 500 万枚 HYPE 代币，总持有量达到 1760 万枚。据 NS3 报道，公司还回购了约 300 万股自家股票。Hyperliquid Strategies 拥有约 1.25 亿美元的可动用资本，并获得 10 亿美元的股权信贷融资额度。,https://www.binance.com/zh-CN/square/post/302527241480978
1023,地缘政治 | 世界粮食计划署：伊朗战争或致4500万人面临饥饿据金十数据报道，世界粮食计划署警告称，伊朗战争可能导致到6月有4500万人面临严重饥饿。这一情况可能加剧地区不稳定，并对全球粮食安全产生深远影响。,https://www.binance.com/zh-CN/square/post/302526262326417
1024,Crypto Fear & Greed Index 上升至 28，摆脱极度恐惧区域MyToken在 X（原Twitter）表示，Crypto Fear & Greed Index 今天上升至 28，较昨天的 23 有所提高，摆脱了极度恐惧区域。,https://www.binance.com/zh-CN/square/post/302525923743009
1025,Bentley Motors计划裁员275人，因中国销量下滑及电动车需求疲软Bentley Motors计划裁员275人，以应对中国市场销量下滑、电动车需求疲软以及美国关税带来的挑战。Bloomberg 在 X（原 Twitter）发文表示，这家英国豪华汽车制造商正面临多重市场压力，导致其不得不采取裁员措施以降低成本。,https://www.binance.com/zh-CN/square/post/302525426374114
1026,伊朗高官拒绝与美国和解提议，拉里贾尼被击毙3 月 17 日，伊朗最高国家安全委员会秘书阿里·拉里贾尼为海军阵亡战士发表悼词。据 BlockBeats 报道，伊朗高级官员称，新任最高领导人拒绝了与美国和解的提议。此前，以色列国防部长确认拉里贾尼已被成功击毙。,https://www.binance.com/zh-CN/square/post/302487239219778
1027,"Abraxas Capital 在 Hyperliquid 上做空石油Lookonchain在 X（原Twitter）表示，Abraxas Capital 在过去 13 小时内开设了 10 倍杠杆的石油空头头寸，涉及 146,601 xyz:CL，价值 13.98 亿美元。他们在 Hyperliquid 上的钱包 0x5b5d 总利润为 165.94 亿美元。",https://www.binance.com/zh-CN/square/post/302487008004146
1028,"Thunes 扩展稳定币结算至全球银行网络，实现传统金融与数字资产互联互通据 ChainCatcher 报道，跨境支付基础设施公司 Thunes 宣布通过接入 Swift 网络，将稳定币结算能力延伸至全球 11,500 家银行，实现传统金融体系与数字资产之间的互联互通。

企业及金融机构可通过 Thunes 的网络，将稳定币支付直接结算至接入 Swift 的银行账户，无需额外的链下转换流程。该方案旨在降低跨境支付的摩擦成本，并提升结算效率。",https://www.binance.com/zh-CN/square/post/302524198142801
1029,BabyDoge 开启 2026 年慈善计划，首站捐助宿务动物收容所BabyDoge 宣布于 3 月 14 日向宿务的两个动物收容所捐赠了食品、药品和玩具。据 NS3 报道，这标志着其 2026 年十地慈善计划的第一站。BabyDoge 表示，这些收容所照顾约 500 只动物。,https://www.binance.com/zh-CN/square/post/302523427965458
1030,美国能源部批准极光发电站核安全设计据金十数据报道，美国能源部已批准极光发电站的核安全设计。这一批准标志着极光发电站在核能安全方面取得了重要进展，为未来的核能项目奠定了基础。,https://www.binance.com/zh-CN/square/post/302523376173905
1031,AI趋势 | STLabs 利用 AI 重塑信息技术服务STLabs 是最新尝试利用 AI 重塑信息技术服务的初创公司。Bloomberg 在 X（原 Twitter）发文表示，该公司计划通过人工智能技术提高服务效率和创新能力。,https://www.binance.com/zh-CN/square/post/302523314602593
1032,MTN 退出伊朗投资面临困难MTN 首席执行官 Ralph Mupita 表示，计划退出其在伊朗的投资在实际操作和法律上都面临困难。Bloomberg 在 X（原 Twitter）发文表示，这主要是由于制裁的影响。,https://www.binance.com/zh-CN/square/post/302523083803777
1033,特朗普税法影响慈善机构捐赠收入一项新研究显示，尽管新的扣除政策鼓励数百万美国人捐赠，特朗普税法仍可能导致慈善机构损失数十亿美元。Bloomberg 在 X（原 Twitter）发文表示，研究指出，税法的变化可能对慈善捐赠产生长期影响，慈善机构需寻找新的筹资策略以应对潜在的资金缺口。,https://www.binance.com/zh-CN/square/post/302522502002306
1034,"贵金属 | Robert Kiyosaki 预测黄金或达 3.5 万美元/盎司《富爸爸穷爸爸》作者 Robert Kiyosaki 在 X 发文称，“史上最大泡沫”接近破裂。

据吴说报道，他预测在下一次“全球金融危机（GFC）”式崩盘后一年，黄金或达 3.5 万美元/盎司，白银 200 美元/盎司，比特币 75 万美元/枚，以太坊 9.5 万美元/枚。",https://www.binance.com/zh-CN/square/post/302522094260002
1035,地缘政治 | 美国股指期货下跌，伊朗战争加剧推高油价引发通胀担忧美国股指期货周二下跌，因伊朗战争紧张局势持续升级，推动油价上涨并引发通胀担忧。Bloomberg 在 X（原 Twitter）发文表示，美联储即将召开为期两天的政策会议，市场密切关注其对当前经济形势的反应。,https://www.binance.com/zh-CN/square/post/302521703774737
1036,地缘政治 | 伊朗战争引发滞胀担忧伊朗战争重新引发了对滞胀的担忧。Bloomberg 在 X（原 Twitter）发文表示，滞胀是指价格上涨伴随着经济增长放缓的现象。,https://www.binance.com/zh-CN/square/post/302520933347441
1037,白宫经济顾问哈塞特：伊朗战争持续超六周将危及美国消费者白宫经济顾问哈塞特表示，伊朗战争若持续超过六周，将对美国消费者构成风险。据金十数据报道，哈塞特强调，战争可能导致油价上涨，从而影响消费者的支出和经济增长。,https://www.binance.com/zh-CN/square/post/302520908881825
1038,香港稳定币市场规模或达160亿美元，需求增长可期Citigroup 估计，香港稳定币市场规模可能达到约 160 亿美元，约合 1248 亿港元。据 NS3 报道，Citigroup 表示，市场可能波动约 80 亿美元，若需求条件增强，市场规模可能进一步增长。,https://www.binance.com/zh-CN/square/post/302520773320418
1039,中国国家安全部发布OpenClaw安全手册，警示技术漏洞风险中国国家安全部微信公众号3月17日发布《“龙虾”（OpenClaw）安全养殖手册》，警告主机系统接管、数据盗窃、输出篡改和技术漏洞利用的风险。据NS3报道，手册建议运营商检查互联网暴露、权限、凭证泄漏和插件来源，并在风险严重时隔离或下线系统。,https://www.binance.com/zh-CN/square/post/302520750010993
1040,"市场情绪转向乐观！以太坊交易者看涨以太坊价格接近 2,330 美元，过去 24 小时上涨约 2.6%。据 NS3 报道，市场认为以太坊达到 3,000 美元的概率为 54%，高于跌至 1,500 美元的可能性。",https://www.binance.com/zh-CN/square/post/302520732653154
1041,中国十四五规划推动区块链网络建设与数字经济发展中国十四五规划提出国家区块链网络建设项目及更广泛的数字经济发展。据 NS3 报道，规划中提到中国将参与数字货币、人工智能和跨境数据流动的国际治理。文件还强调稳步推进数字人民币发展，加快建设上海国际金融中心。,https://www.binance.com/zh-CN/square/post/302520710518498
1042,希腊将提前偿还70亿欧元救助贷款据金十数据报道，希腊债务管理局局长表示，希腊计划在未来几个月内提前偿还第一轮救助贷款中的70亿欧元，这一举措将较原计划提前进行。,https://www.binance.com/zh-CN/square/post/302519028025906
1043,美国白宫：油轮开始缓慢通过霍尔木兹海峡据金十数据报道，美国白宫国家经济委员会主任哈塞特在接受美国全国广播公司财经频道采访时表示，油轮“正开始缓慢通过霍尔木兹海峡”。他重申了特朗普政府的观点，即他们认为这场与伊朗的战争将持续数周而非数月。,https://www.binance.com/zh-CN/square/post/302517709419986
1044,白宫经济顾问：帮助美国农民获得化肥是重点白宫经济顾问哈塞特表示，当前的重点是协助美国农民获取化肥。这一举措旨在支持农业生产，确保农民能够获得必要的资源以维持和提高产量。,https://www.binance.com/zh-CN/square/post/302517173258162
1045,白宫经济顾问：亚洲或减少对美石油出口引担忧白宫经济顾问哈塞特表示，亚洲可能正在减少对美国的石油出口，这一趋势引发了担忧。哈塞特指出，这种变化可能对美国的能源供应产生影响，并可能导致市场的不确定性。,https://www.binance.com/zh-CN/square/post/302516299877474
1046,"地缘政治 | 投资者在伊朗战争期间转向能源股投资者在伊朗战争期间纷纷转向能源股以寻求避险。

Bloomberg 在 X（原 Twitter）发文表示，尽管能源股被视为避险选择，但投资者不应过于安逸。",https://www.binance.com/zh-CN/square/post/302515904841234
1047,Hyperscale Data 持有 622.4 枚 BTC，考虑增加比特币投资吴说获悉，纽交所旗下 NYSE American 上市公司 Hyperscale Data 披露截至 3 月 15 日其比特币金库共持有 622.4 枚 BTC。据吴说报道，公司现金、受限现金与比特币合计约 8570 万美元，约为当前市值的 161.23%。公司董事会主席称公司估值与资产价值存在显著偏离，正考虑将逐步把分配给数字资产金库策略的现金投入比特币购买。,https://www.binance.com/zh-CN/square/post/302515832111426
1048,AI趋势 | Cathie Wood：人工智能将提升劳动生产率ARK Investment Management 的 Cathie Wood 表示，人工智能已经在提高劳动生产率，并将在未来十年释放更显著的增长潜力。Bloomberg 在 X（原 Twitter）发文表示，Wood 认为 AI 技术的进步将推动经济发展，并为企业创造更多机会。她强调，随着技术的不断进步，AI 将成为推动生产力提升的重要因素。,https://www.binance.com/zh-CN/square/post/302515616546034
1049,白宫经济顾问哈塞特：美国经济依然基本面强劲据金十数据报道，白宫经济顾问哈塞特表示，美国经济依然保持基本面强劲。哈塞特强调，尽管面临一些挑战，美国经济的基本面仍然稳固，显示出持续增长的潜力。,https://www.binance.com/zh-CN/square/post/302515414478401
1050,白宫经济顾问：油轮开始通过霍尔木兹海峡据金十数据报道，白宫经济顾问哈塞特表示，油轮已经开始通过霍尔木兹海峡。这一动向可能对全球石油市场产生影响，尤其是在当前地缘政治紧张局势下。哈塞特强调，霍尔木兹海峡是全球石油运输的重要通道，任何对其通行的干扰都可能导致油价波动。,https://www.binance.com/zh-CN/square/post/302515310158530
1051,市场预期收益率曲线变陡下降据金十数据报道，美国银行3月份的全球基金经理调查显示，投资者对收益率曲线变陡的预期有所下降。报告指出，目前有56%的基金经理预计3个月至10年期的收益率曲线将会变陡，这一比例较一个月前的80%大幅下降。,https://www.binance.com/zh-CN/square/post/302515294173682
1052,以色列国防军：伊朗最高国家安全委员会秘书拉里贾尼被清除据金十数据报道，以色列国防军发布了一张信息图，显示伊朗最高国家安全委员会秘书拉里贾尼已被清除。这一消息引发了广泛关注，可能对地区局势产生影响。,https://www.binance.com/zh-CN/square/post/302515275740962
1053,白宫经济顾问：伊朗冲突将在短期内结束据金十数据报道，白宫经济顾问哈塞特表示，伊朗冲突预计将在短期内结束。这一声明可能会对市场情绪产生影响，投资者需密切关注局势发展。,https://www.binance.com/zh-CN/square/post/302515259699553
1054,西班牙海滩度假胜地达成3.5亿欧元赔偿协议西班牙最繁忙的海滩度假胜地之一已同意一项计划，向在2000年代初房地产热潮中被亏待的土地所有者支付3.5亿欧元的赔偿。,https://www.binance.com/zh-CN/square/post/302515072069730
1055,以色列外长：我们将继续与伊朗的战争，直到任务完成据金十数据报道，以色列外长表示，以色列将继续与伊朗的战争，直到任务完成。这一声明强调了以色列在中东地区的战略立场，并可能对地区局势产生影响。,https://www.binance.com/zh-CN/square/post/302514732731730
1056,以色列外长：我们已经赢了，伊朗已大幅削弱以色列外长表示，以色列在与伊朗的较量中已经取得胜利，伊朗的实力已被大幅削弱。据金十数据报道，以色列外长强调，伊朗在多个领域遭受了重大损失，这对地区局势产生了深远影响。,https://www.binance.com/zh-CN/square/post/302514569670001
1057,英国央行：审慎监管局公布流动性改革提案据金十数据报道，英国央行的审慎监管局近日公布了一项流动性改革提案，旨在加强金融机构的流动性管理和风险控制。这一提案将对银行和其他金融机构的流动性要求进行调整，以提高其应对市场波动和金融危机的能力。,https://www.binance.com/zh-CN/square/post/302514197781090
1058,PayPal 稳定币服务扩展至 68 个国家PayPal 将其稳定币服务扩展至 68 个国家，进一步扩大了其服务市场。据 NS3 报道，此次扩展使得更多国家的用户可以使用 PayPal 的稳定币服务。,https://www.binance.com/zh-CN/square/post/302514128543601
1059,AI趋势 | Nebius Group NV计划通过可转换债务筹集37.5亿美元人工智能数据中心开发商Nebius Group NV宣布计划通过可转换债务筹集约37.5亿美元。Bloomberg 在 X（原 Twitter）发文表示，此举是在与Meta Platforms Inc.达成重大商业协议之后进行的。,https://www.binance.com/zh-CN/square/post/302513501262177
1060,泰国国家规划局维持2026年GDP增长预测据金十数据报道，泰国国家规划局宣布维持对2026年GDP增长的预测。这一决定显示出泰国对未来经济发展的信心。,https://www.binance.com/zh-CN/square/post/302512482381729
1061,UniCredit计划加深对Commerzbank的影响UniCredit SpA代表在提交对Commerzbank AG 350亿欧元的收购提案前，已向意大利总理Giorgia Meloni办公室进行了简报。Bloomberg 在 X（原 Twitter）发文表示，此举旨在加深UniCredit对Commerzbank的影响力。,https://www.binance.com/zh-CN/square/post/302511521081857
1062,全球钴短缺预计持续至2030年，刚果出口限制影响供应链Darton Commodities 表示，全球钴短缺预计将持续到2030年。Bloomberg 在 X（原 Twitter）发文表示，作为全球最大生产国的刚果实施的出口限制对供应链产生了重大影响。,https://www.binance.com/zh-CN/square/post/302511211341682
1063,希腊总理：正推进儿童社交媒体禁令据金十数据报道，希腊总理表示，政府正在积极推进儿童社交媒体禁令的相关措施。希腊政府认为，限制儿童使用社交媒体有助于保护他们的心理健康和安全。,https://www.binance.com/zh-CN/square/post/302510882297905
1064,以色列外交部长：伊朗政权只能由伊朗人决定据金十数据报道，以色列外交部长表示，伊朗的政权问题应由伊朗人民自行决定。这一声明强调了以色列对伊朗内政的立场，表明不干涉他国内政的原则。,https://www.binance.com/zh-CN/square/post/302510855891697
1065,地缘政治 | 英国燃油价格创 18 个月新高英国司机的燃油价格在连续两周大幅上涨后，达到 18 个月以来的最高水平。Bloomberg 在 X（原 Twitter）发文表示，这一上涨是由于中东冲突引发的成本上升所致。,https://www.binance.com/zh-CN/square/post/302510711301682
1066,Celulosa Arauco y Constitucion SA 逆势建全球最大纸浆厂，财务总监称将获成功Celulosa Arauco y Constitucion SA 在行业低迷时期押注建设全球最大纸浆厂。Bloomberg 在 X（原 Twitter）发文表示，该公司首席财务官认为这一举措将取得成功。,https://www.binance.com/zh-CN/square/post/302510138192482
1067,德意志银行CEO警告：交易收入或因汇率波动下降德意志银行首席执行官Christian Sewing警告称，由于不利的汇率波动，该行的交易收入可能在第一季度下降。Bloomberg 在X（原 Twitter）发文表示，这一预期反映了当前市场环境对德意志银行的挑战。,https://www.binance.com/zh-CN/square/post/302509669007969
1068,印度大宗化学品制造商泰米尔纳杜停产构成不可抗力据金十数据报道，印度大宗化学品制造商泰米尔纳杜宣布停产，并称此举构成不可抗力。该公司未详细说明停产原因，但表示将尽力解决问题以恢复生产。,https://www.binance.com/zh-CN/square/post/302509617160513
1069,希腊总理：通胀是头号担忧希腊总理表示，当前通胀问题是希腊政府的首要关注点。政府正在采取措施应对这一挑战，以确保经济稳定和民众生活水平的提高。,https://www.binance.com/zh-CN/square/post/302509145311090
1070,地缘政治 | 毛里求斯控制支出以应对英国不履行条约的财政影响毛里求斯正在控制支出，以抵消英国宣布在没有美国支持的情况下，不会实施将查戈斯群岛交给毛里求斯的条约所带来的财政影响。Bloomberg 在 X（原 Twitter）发文表示，这一决定可能会对毛里求斯的财政状况产生重大影响。,https://www.binance.com/zh-CN/square/post/302509099402066
1071,希腊总理：核能技术未来将具备竞争力希腊总理表示，核能技术在未来某个时点将具备竞争力。这一观点反映了希腊对核能技术潜力的重视，可能影响未来的能源政策和技术投资方向。,https://www.binance.com/zh-CN/square/post/302508247625154
1072,波兰总理：波兰不会向伊朗派遣军队和舰艇据金十数据报道，波兰总理图斯克表示，波兰不会向伊朗派遣军队和舰艇。这一声明澄清了波兰在当前地缘政治局势中的立场，表明其不参与对伊朗的军事行动。,https://www.binance.com/zh-CN/square/post/302508009632098
1073,希腊总理：核能在全球净零排放中不可或缺据金十数据报道，希腊总理表示，为实现全球净零排放目标，核能将发挥不可或缺的作用。这一观点强调了核能在减少碳排放和应对气候变化方面的重要性。希腊总理呼吁国际社会加强合作，共同推动核能技术的发展，以实现可持续的未来。,https://www.binance.com/zh-CN/square/post/302507963982290
1074,英国海上贸易行动办公室：阿联酋富查伊拉附近船只遭受轻微损坏据金十数据报道，英国海上贸易行动办公室表示，阿联酋富查伊拉附近一艘船只遭受轻微结构性损坏。目前尚未有进一步的详细信息披露。,https://www.binance.com/zh-CN/square/post/302507929187138
1075,地缘政治 | BRICS 货币讨论加剧，美元替代方案引关注关于 BRICS 货币作为美元替代方案的讨论愈演愈烈。据 NS3 报道，美国与伊朗战争的每日成本估计在 8 亿至 20 亿美元之间，这种财政压力与 30 年期国债收益率接近 4.90% 相关联。此外，现有的 BRICS 支付基础设施如 CIPS、mBridge 以及提议中的 BRICS 货币也成为关注焦点。,https://www.binance.com/zh-CN/square/post/302507593555121
1076,地缘政治 | 希腊总理：能源合作将希腊与美国紧密联系希腊总理表示，能源合作在地缘政治上将希腊与美国紧密联系在一起。据金十数据报道，这种合作关系不仅有助于加强两国的经济联系，还在地区安全和稳定方面发挥重要作用。,https://www.binance.com/zh-CN/square/post/302507479432738
1077,伊朗革命卫队：逮捕55名涉嫌与美以合作人员据金十数据引述伊朗塔斯尼姆通讯社报道，伊朗革命卫队情报机构在伊朗南部逮捕了55名涉嫌与美国和以色列合作的人员。,https://www.binance.com/zh-CN/square/post/302507463083121
1078,泰国上调柴油价格泰国政府宣布将柴油价格上调0.5泰铢/升。此举可能对运输和物流行业产生影响，并引发消费者对生活成本上升的担忧。,https://www.binance.com/zh-CN/square/post/302507043446450
1079,地缘政治 | Benjamin Netanyahu 驳斥死亡谣言，发布视频证明健康状况Benjamin Netanyahu 发布了一段庆祝诺鲁兹的视频及其他片段，以回应关于其死亡的网络谣言。据 NS3 报道，其中一段视频显示他在户外行走，另一段则是在咖啡馆。其办公室表示他身体状况良好，并称这些谣言为假新闻。与此同时，关注点集中在与其政治未来相关的价值 3000 万美元的 Polymarket 市场。,https://www.binance.com/zh-CN/square/post/302507004514626
1080,希腊总理：能源危机之际寻求有针对性的临时措施据金十数据报道，希腊总理表示，在当前的能源危机中，希腊政府正在寻求实施有针对性的临时措施，以应对能源供应和价格波动带来的挑战。这些措施旨在减轻对经济和民众生活的影响，确保能源市场的稳定性。希腊政府将继续与国际伙伴合作，寻找长期解决方案，以保障国家能源安全。,https://www.binance.com/zh-CN/square/post/302506697658722
1081,Bank of Montreal 计划在加州和亚利桑那州扩展业务Bank of Montreal 宣布计划在未来五年内在加州开设超过 130 家新分行，并在亚利桑那州开设约 15 家新分行。Bloomberg 在 X（原 Twitter）发文表示，这一扩展计划旨在加强其在美国市场的业务布局。,https://www.binance.com/zh-CN/square/post/302506511942241
1082,"CTAs 预计下月将出售高达 1000 亿美元Macro Charts 在 X（原Twitter）表示，CTAs 在过去一个月内出售了 800 亿美元。持仓长度从超过 8 降至约 6.5，预计在其他条件不变的情况下将接近 4.5-5。

系统化交易预计将在下周出售 700 亿美元，并在下月出售高达 1000 亿美元。这将如何影响股票市场？",https://www.binance.com/zh-CN/square/post/302506330245185
1083,希腊总理：能源危机可能导致利率上升希腊总理表示，当前的能源危机可能会对经济产生深远影响，尤其是可能导致利率上升。这一观点引发了市场对未来经济走势的担忧。据金十数据报道，希腊政府正在密切关注这一局势，并采取措施以应对潜在的经济挑战。,https://www.binance.com/zh-CN/square/post/302506296448338
1084,"AI趋势 | T5 Data Centers计划筹集20亿美元用于AI基础设施建设T5 Data Centers计划筹集20亿美元股本，以扩展更多设施，显示出大量资本涌入AI基础设施建设的最新迹象。

Bloomberg 在 X（原 Twitter）发文表示，T5 Data Centers的这一举措反映了市场对AI技术支持设施的需求不断增长。",https://www.binance.com/zh-CN/square/post/302506209987889
1085,希腊总理：绝不能摧毁欧洲工业和竞争力据金十数据报道，希腊总理强调，欧洲必须保护其工业和竞争力，避免采取可能导致其被摧毁的措施。他指出，保持欧洲的经济实力对于全球市场的稳定至关重要。,https://www.binance.com/zh-CN/square/post/302505837029906
1086,希腊总理：促进清洁技术投资需正确价格信号据金十数据报道，希腊总理强调，为了推动清洁技术的投资，必须发出正确的价格信号。这一举措旨在加速绿色能源的采用和减少对传统化石燃料的依赖。希腊政府正在积极寻求政策支持，以吸引更多的投资者进入清洁技术领域。,https://www.binance.com/zh-CN/square/post/302505814667617
1087,希腊总理：能源价格高昂且碳排放交易体系成本居高不下希腊总理表示，当前能源价格过高，碳排放交易体系的成本也居高不下，这种情况简直是荒谬至极。据金十数据报道，希腊政府正在寻求解决方案，以应对能源市场的挑战和环境政策的压力。,https://www.binance.com/zh-CN/square/post/302505116852546
1088,希腊总理：欧洲需加倍发力可再生能源希腊总理表示，欧洲在可再生能源领域需要加倍努力，以应对当前的能源挑战。他强调，增加可再生能源的使用不仅有助于环境保护，还能增强能源安全。,https://www.binance.com/zh-CN/square/post/302505100760162
1089,乌克兰友谊输油管道抢修即将完成乌克兰总统泽连斯基在致欧盟的信中表示，友谊输油管道的抢修工作即将完成。受损泵站预计将在1个半月内恢复。,https://www.binance.com/zh-CN/square/post/302505078196369
1090,股票市场 | MSCI全球股票指数创2022年以来最大跌幅MSCI全球股票指数正面临自2022年以来的最大跌幅。Bloomberg 在 X（原 Twitter）发文表示，市场对经济增长放缓的担忧加剧，导致投资者纷纷撤出风险资产。全球经济不确定性增加，投资者情绪受到影响，资金流动趋于保守。,https://www.binance.com/zh-CN/square/post/302504765652449
1091,希腊总理：欧洲应制定措施应对能源价格飙升希腊总理呼吁欧洲采取短期和长期措施，以支持消费者和企业应对能源价格的急剧上涨。据金十数据报道，这一呼吁旨在缓解能源成本对经济和社会的影响。,https://www.binance.com/zh-CN/square/post/302504096195409
1092,希腊总理：愿考虑发展核能据金十数据报道，希腊总理表示希腊愿意考虑发展核能，以应对能源需求和环境挑战。这一表态可能标志着希腊能源政策的重大转变，旨在寻求更可持续的能源解决方案。,https://www.binance.com/zh-CN/square/post/302504012005985
1093,地缘政治 | 欧盟碳市场未来成为成员国能源价格辩论焦点欧盟成员国正在就如何降低能源价格展开辩论，欧盟的旗舰碳市场未来成为其中的一个关键问题。Bloomberg 在 X（原 Twitter）发文表示，碳市场的改革可能会影响能源价格的走势，并成为各国政策制定者关注的重点。成员国之间的分歧可能会影响欧盟整体的气候政策和能源战略。,https://www.binance.com/zh-CN/square/post/302503662825137
1094,地缘政治 | 欧盟委员会主席冯德莱恩：乌克兰已接受“友谊”管道援助资金据金十数据报道，欧盟委员会主席冯德莱恩表示，乌克兰已接受来自欧盟的“友谊”管道援助资金。这笔资金旨在支持乌克兰的基础设施建设和能源安全。冯德莱恩强调，欧盟将继续与乌克兰合作，确保其在当前地缘政治局势中的稳定与发展。,https://www.binance.com/zh-CN/square/post/302503511195362
1095,地缘政治 | 欧盟委员会主席冯德莱恩：确保欧洲能源安全是首要任务欧盟委员会主席冯德莱恩表示，确保所有欧洲公民的能源安全是我们的首要任务。她强调，欧盟将继续与相关方合作，寻找将非俄罗斯原油运输到中东欧国家的替代路线。,https://www.binance.com/zh-CN/square/post/302503153329666
1096,希腊总理：欧洲不会在军事上被卷入伊朗战争据金十数据报道，希腊总理表示，欧洲不会在军事上被卷入伊朗战争。这一声明是在当前地缘政治紧张局势下发表的，旨在澄清欧洲在中东冲突中的立场。,https://www.binance.com/zh-CN/square/post/302503132243457
1097,美国银行：投资者预期短期利率下降至新低据金十数据报道，美国银行调查显示，净17%的投资者预期短期利率会下降，这是自2023年2月以来的最低水平，较一个月前的46%显著下降。,https://www.binance.com/zh-CN/square/post/302502246816593
1098,美国银行：投资者预期未来12个月全球CPI将上涨据金十数据报道，美国银行的调查显示，净45%的投资者预期未来12个月全球CPI将上涨，这一比例显著高于一个月前的9%。,https://www.binance.com/zh-CN/square/post/302502229691841
